submitted_name,normalized_name,proposed_formula,matched_existing_object,match_type,ev_state,hold_kind,failure_class,final_disposition,blocker_subtype,residual_home,confidence,source,note,object_type,evidence_state,blocker_id,owner
Fairy Legover / Toe ss Eggbeater,fairylegovertoesseggbeater,,same-formula-row,formula-identity,alias,alias,ambiguous-terminal-mechanic,A,,,high,PB,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Fairy near Pickup,fairynearpickup,,same-formula-row,formula-identity,alias,alias,,A,,,high,PB,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Fairy Spinning Double Down (Fairy Tail),fairyspinningdoubledownfairytail,,same-formula-row,formula-identity,alias,alias,ambiguous-terminal-mechanic,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Fairy Spinning Legover (Fairy Merkon),fairyspinninglegoverfairymerkon,,same-formula-row,formula-identity,alias,alias,,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Fairy ss Barrage,fairyssbarrage,,same-formula-row,formula-identity,alias,alias,,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Fairy ss Blender,fairyssblender,,same-formula-row,formula-identity,alias,alias,,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Fairy ss Butterfly (Park Avenue),fairyssbutterflyparkavenue,,same-formula-row,formula-identity,alias,alias,,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Fairy ss Clipper,fairyssclipper,,same-formula-row,formula-identity,alias,alias,,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Fairy ss DLO (Glaucoma),fairyssdloglaucoma,,same-formula-row,formula-identity,alias,alias,,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Fairy ss Double Pickup,fairyssdoublepickup,,same-formula-row,formula-identity,alias,alias,,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Fairy ss Drifter (Casket),fairyssdriftercasket,,same-formula-row,formula-identity,alias,alias,,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Fairy ss Dyno,fairyssdyno,,same-formula-row,formula-identity,alias,alias,,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Fairy ss Eggbeater,fairysseggbeater,,same-formula-row,formula-identity,alias,alias,,A,,,high,FM,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Fairy ss Eggbeater (Flaming Homer),fairysseggbeaterflaminghomer,,same-formula-row,formula-identity,alias,alias,,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Fairy ss Legover,fairysslegover,,same-formula-row,formula-identity,alias,alias,,A,,,high,PB,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Fairy ss Mirage,fairyssmirage,,same-formula-row,formula-identity,alias,alias,,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Fairy ss Osis,fairyssosis,,same-formula-row,formula-identity,alias,alias,,A,,,high,FM,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Fairy ss Pickup (Nallegam),fairysspickupnallegam,,same-formula-row,formula-identity,alias,alias,,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Fairy ss Swirl,fairyssswirl,,same-formula-row,formula-identity,alias,alias,,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Fairy ss Symposium Mirage,fairysssymposiummirage,,same-formula-row,formula-identity,alias,alias,,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Fairy ss Symposium Whirl,fairysssymposiumwhirl,,same-formula-row,formula-identity,alias,alias,,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Fairy ss Torque (Muerto),fairysstorquemuerto,,same-formula-row,formula-identity,alias,alias,,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Fairy ss XBD Rake (Swish),fairyssxbdrakeswish,,same-formula-row,formula-identity,alias,alias,unknown-modifier-token,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Fairy XBD Rake (Freak),fairyxbdrakefreak,,same-formula-row,formula-identity,alias,alias,unknown-modifier-token,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Far Clipper,farclipper,,same-formula-row,formula-identity,alias,alias,,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Far Double Over Down,fardoubleoverdown,,same-formula-row,formula-identity,alias,alias,,A,,,high,FM,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Far Double Pickup (Reverse Reaper),fardoublepickupreversereaper,,same-formula-row,formula-identity,alias,alias,,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Far Double Switchover (Reaper),fardoubleswitchoverreaper,,same-formula-row,formula-identity,alias,alias,folk-name-opacity,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Far Dyno,fardyno,,same-formula-row,formula-identity,alias,alias,,A,,,high,FM,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Far Guay,farguay,,same-formula-row,formula-identity,alias,alias,,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Far Legover,farlegover,,same-formula-row,formula-identity,alias,alias,,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Far Osis,farosis,,same-formula-row,formula-identity,alias,alias,,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Far Pickup,farpickup,,same-formula-row,formula-identity,alias,alias,,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Far Swirl,farswirl,,same-formula-row,formula-identity,alias,alias,,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Far Symposium Reverse Whirl,farsymposiumreversewhirl,,same-formula-row,formula-identity,alias,alias,,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Ferocious / Flow,ferociousflow,,same-formula-row,formula-identity,alias,alias,folk-name-opacity,A,,,high,FM,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Finchy (Pinching Fairy set),finchypinchingfairyset,,same-formula-row,formula-identity,alias,alias,folk-name-opacity,A,,,high,FB,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Flailing (Symposium Reverse Miraging),flailingsymposiumreversemiraging,,same-formula-row,formula-identity,alias,alias,folk-name-opacity,A,,,high,FB,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Flailing Butterfly (Leg Breaker),flailingbutterflylegbreaker,,same-formula-row,formula-identity,alias,alias,unknown-modifier-token,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Flailing DOD (Frontside Fusion),flailingdodfrontsidefusion,,same-formula-row,formula-identity,alias,alias,folk-name-opacity,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Flailing Dolomite (Your Sister),flailingdolomiteyoursister,,same-formula-row,formula-identity,alias,alias,unknown-modifier-token,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Flailing Ducking Butterfly (Alpine Legbreaker),flailingduckingbutterflyalpinelegbreaker,,same-formula-row,formula-identity,alias,alias,unknown-modifier-token,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Flailing Mirage (Frontside Atom Smasher),flailingmiragefrontsideatomsmasher,,same-formula-row,formula-identity,alias,alias,unknown-modifier-token,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Flailing ss Symposium Mirage (Stampede),flailingsssymposiummiragestampede,,same-formula-row,formula-identity,alias,alias,unknown-modifier-token,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Flailing ss Symposium Reverse Whirl (Gromitron),flailingsssymposiumreversewhirlgromitron,,same-formula-row,formula-identity,alias,alias,unknown-modifier-token,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Flailing Symposium Mirage (Atom Bomb),flailingsymposiummirageatombomb,,same-formula-row,formula-identity,alias,alias,unknown-modifier-token,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Flaming Tard / Wet Dream,flamingtardwetdream,,same-formula-row,formula-identity,alias,alias,folk-name-opacity,A,,,high,FM,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Flapper Reverse Swirling Flapper (Capuchin),flapperreverseswirlingflappercapuchin,,same-formula-row,formula-identity,alias,alias,ambiguous-terminal-mechanic,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Flaring Butterfly (Fire Walk),flaringbutterflyfirewalk,,same-formula-row,formula-identity,alias,alias,unknown-modifier-token,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Flip side (flip),flipsideflip,,same-formula-row,formula-identity,alias,alias,folk-name-opacity,A,,,high,PB,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Frantic (pixie-quantum),franticpixiequantum,,same-formula-row,formula-identity,alias,alias,folk-name-opacity,A,,,high,FB,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
