t1,t2,t3,occurrences,years,players,add_1,add_2,add_3,current_total_add,raw_total_reported,parity_vector,sequence_parity,link1,link1_note,link2,link2_note,surface_chain
sumo,tapdown,paradox_symposium_whirl,1,2006,Dexter Struz,5,4,5,14,,PPS,OPPOSITE_FOOT,COMPATIBLE,A ends TOE; B enters TOE,COMPATIBLE,A ends CLIP; B enters CLIP,CLIP->TOE | TOE->CLIP | CLIP->CLIP
sumo,atomic_drifter,grave_digger,1,2009,,5,4,5,14,,PPP,SAME_FOOT,COMPATIBLE,A ends TOE; B enters TOE,COMPATIBLE,A ends CLIP; B enters CLIP,CLIP->TOE | TOE->CLIP | CLIP->CLIP
sumo,atomic_whirl,paradox_symposium_eggbeater,1,2009,,5,4,5,14,,PSS,SAME_FOOT,COMPATIBLE,A ends TOE; B enters TOE,COMPATIBLE,A ends CLIP; B enters CLIP,CLIP->TOE | TOE->CLIP | CLIP->TOE
whirl,sole_survivor,spinning_paradox_blender,1,2005,,3,5,6,14,,PPS,OPPOSITE_FOOT,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE,A ends CLIP; B enters CLIP,ANY->CLIP | CLIP->CLIP | CLIP->CLIP
blurry_whirl,osis,paradox_torque,1,2002,Jeremy Benton,5,3,5,13,,SVP,UNDETERMINED,COMPATIBLE_VIA_FLEXIBLE_SET,A ends CLIP; B entry is a generic set,COMPATIBLE_VIA_FLEXIBLE_SET,A ends CLIP; B entry is a generic set,CLIP->CLIP | ANY->CLIP | ANY->CLIP
blurry_whirl,paradox_torque,paradox_mirage,1,2007,,5,5,3,13,,SPP,OPPOSITE_FOOT,COMPATIBLE_VIA_FLEXIBLE_SET,A ends CLIP; B entry is a generic set,COMPATIBLE,A ends CLIP; B enters CLIP,CLIP->CLIP | ANY->CLIP | CLIP->TOE
dimwalk,ripwalk,tomahawk,1,2008,,4,4,5,13,,PSS,SAME_FOOT,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE,A ends CLIP; B enters CLIP,TOE->CLIP | CLIP->CLIP | CLIP->CLIP
double_leg_over,pixie_butterfly_swirl,spinning_torque,1,2007,,3,5,5,13,,PSP,OPPOSITE_FOOT,COMPATIBLE,A ends TOE; B enters TOE,COMPATIBLE_VIA_FLEXIBLE_SET,A ends CLIP; B entry is a generic set,ANY->TOE | TOE->CLIP | ANY->CLIP
gyro_double_leg_over,torque,paradox_blender,1,2008,,4,4,5,13,,SPP,OPPOSITE_FOOT,COMPATIBLE_VIA_FLEXIBLE_SET,A ends TOE; B entry is a generic set,COMPATIBLE_VIA_FLEXIBLE_SET,A ends CLIP; B entry is a generic set,CLIP->TOE | ANY->CLIP | ANY->CLIP
paradox_double_leg_over,dimwalk,paradox_symposium_whirl,1,2008,,4,4,5,13,,SPS,SAME_FOOT,COMPATIBLE,A ends TOE; B enters TOE,COMPATIBLE,A ends CLIP; B enters CLIP,CLIP->TOE | TOE->CLIP | CLIP->CLIP
paradox_drifter,paradox_whirl,paradox_torque,2,2002,Greg Nelson,4,4,5,13,,SSP,SAME_FOOT,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE_VIA_FLEXIBLE_SET,A ends CLIP; B entry is a generic set,CLIP->CLIP | CLIP->CLIP | ANY->CLIP
ripwalk,ducking_butterfly,paradox_symposium_whirl,2,2002,Jake Milofsky,4,4,5,13,,SVS,UNDETERMINED,COMPATIBLE_VIA_FLEXIBLE_SET,A ends CLIP; B entry is a generic set,COMPATIBLE,A ends CLIP; B enters CLIP,CLIP->CLIP | ANY->CLIP | CLIP->CLIP
