canonical_slug,canonical_display_name,frontier_tier,frontier_failures,recommended_action,raw_source_count,source_family_count,source_families,source_systems,in_canonical_db,canonical_publication_status,canonical_official_add,canonical_has_notation,canonical_has_op_notation,notation_source_count,notation_canonical,notation_fm,notation_fborg,notation_passback,notation_stanford,notation_internal_ts,parser_status,per_family_add_claims,add_claim_min,add_claim_max,add_claim_spread,doctrine_divergence_tier,composite_modifier_flag
ferocious,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,3,,Toe > Same Out (DEX) >> (front) Spin (BOD) > Op Clip (XBD)(DEL),,,Z+0./-X,Toe > Same Out (DEX) >> (front) Spin (BOD) > Op Clip (XBD)(DEL),parser-clean,fm=4;stanford=5,4,5,1,small,0
firefly,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,3,,Set >> Op Out (DEX) > Op Dragon (XBD)(DEL),,,*. 0-D,Set >> Op Out (DEX) > Op Dragon (XBD)(DEL),parser-clean,fm=3;stanford=3,3,3,0,none,0
flipwalk,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,3,,Dragon > Op In (DEX) >> Op Out (DEX) > Op Clip (XBD)(DEL),,,D-1.-0-D,Dragon > Op In (DEX) >> Op Out (DEX) > Op Clip (XBD)(DEL),parser-clean,fm=4;stanford=4,4,4,0,none,0
floatation,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,3,,Toe > (no plant while) Op In (DEX)(BOD) > Op In (DEX)(XDEX) >> Op Out (DEX) > Op Clip (XBD)(DEL),,,Z-!1-1.-0-X,Toe > (no plant while) Op In (DEX)(BOD) > Op In (DEX)(XDEX) >> Op Out (DEX) > Op Clip (XBD)(DEL),parser-clean,fm=7;stanford=7,7,7,0,none,0
flog,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,3,,Toe > Same Out (DEX) >> Op In (DEX) > Op Out (DEX) > Same Toe (DEL),,,Z+0.-1-0+Z,Toe > Same Out (DEX) >> Op In (DEX) > Op Out (DEX) > Same Toe (DEL),parser-clean,fm=4;stanford=4,4,4,0,none,0
flying-clipper,flying clipper,1_safest,,publish_as_is,4,4,"canonical,fborg,fm,stanford","canonical_db,fborg_text,fm_symbolic_grammar,stanford_corpus",1,canonical_active,2,1,1,4,flying > clipper,flying(1) + cross-body(1) --> 2 ADDs,[bod] [xbd],,*. !X,,parser-clean,canonical=2;fborg=2;fm=2;stanford=2,2,2,0,none,0
forque,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,3,,Toe > Same Out (DEX) >> Op In (DEX) > (back) Spin (BOD) > Op Clip (XBD)(DEL),,,Z+0.-1/-X,Toe > Same Out (DEX) >> Op In (DEX) > (back) Spin (BOD) > Op Clip (XBD)(DEL),parser-clean,fm=5;stanford=5,5,5,0,none,0
frenzy,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,3,,Toe > Same In (DEX) > Op In (DEX) >> Op In (DEX)(XDEX) > Op Toe (DEL),,,Z+1-1.-1-Z,Toe > Same In (DEX) > Op In (DEX) >> Op In (DEX)(XDEX) > Op Toe (DEL),parser-clean,fm=5;stanford=5,5,5,0,none,0
fume,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,3,,Toe > Same Out (DEX) >> Op In (DEX) > Same Clip (XBD)(DEL),,,Z+0.-1+X,Toe > Same Out (DEX) >> Op In (DEX) > Same Clip (XBD)(DEL),parser-clean,fm=4;stanford=4,4,4,0,none,0
genuphobia,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,3,,Toe > Same Out (DEX) >> (back) Spin (BOD) >> (no plant while) Op In (DEX)(BOD) > (back) Spin (BOD) > Op Clip (XBD)(DEL),,,Z+0.\-!1/-X,Toe > Same Out (DEX) >> (back) Spin (BOD) >> (no plant while) Op In (DEX)(BOD) > (back) Spin (BOD) > Op Clip (XBD)(DEL),parser-clean,fm=7;stanford=7,7,7,0,none,0
