"name","slug","governance_state","category","source_corpus","ecosystems","parent_family","completeness","publication_status","parse_confidence","add_confidence"
"What!?","what!?","3 Observationally represented","A","footbagmoves","","","full","","none",""
"Whisk","whisk","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Wookie","wookie","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Your Mom","your-mom","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Your Sister","your-sister","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Zig Zag","zig-zag","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Zipwalk","zipwalk","3 Observationally represented","A","footbagmoves","","","full","","low",""
"Zulu Clipper","zulu-clipper","3 Observationally represented","A","passback","","","full","","none",""
"Zulu Le Loup","zulu-le-loup","3 Observationally represented","A","footbagmoves","","","full","","medium",""
"Zulu Legover","zulu-legover","3 Observationally represented","A","footbagmoves","","","full","","none",""
"Zulu Osis","zulu-osis","3 Observationally represented","A","footbagmoves","","","full","","none",""
"Zulu Pickup","zulu-pickup","3 Observationally represented","A","footbagmoves","","","full","","none",""
"Arctic Butterfly","arctic-butterfly","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Barraging Barfly","barraging-barfly","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Barraging Butterfly","barraging-butterfly","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Barraging Butterfly (same side)","barraging-butterfly-same-side","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Barraging Legover","barraging-legover","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Blazing Mirage","blazing-mirage","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Bubba Butterfly","bubba-butterfly","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Bubba Legover","bubba-legover","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Butterfly Flapper","butterfly-flapper","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Clipper set Double Mirage","clipper-set-double-mirage","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Double Drifter","double-drifter","3 Observationally represented","A","footbagmoves","","","name-only","","",""
