"name","slug","governance_state","category","source_corpus","ecosystems","parent_family","completeness","publication_status","parse_confidence","add_confidence"
"Barraging Legover (Flurry)","barraging-legover-flurry","3 Observationally represented","B","stanford","","","name-only","","",""
"Blazing Mirage (Blaze)","blazing-mirage-blaze","3 Observationally represented","B","stanford","","","name-only","","",""
"Blazing Whirl (Whirl Walk)","blazing-whirl-whirl-walk","3 Observationally represented","B","stanford","whirl-swirl","","name-only","","",""
"Blistering Whirl (Whirling Gyro Whirl)","blistering-whirl-whirling-gyro-whirl","3 Observationally represented","B","stanford","gyro-spyro|whirl-swirl","","name-only","","",""
"Bubba Butterfly (Mxyzptlk)","bubba-butterfly-mxyzptlk","3 Observationally represented","B","stanford","","","name-only","","",""
"Bubba Flail (Massacre)","bubba-flail-massacre","3 Observationally represented","B","stanford","","","name-only","","",""
"Bubba Legover (Bubba Beater)","bubba-legover-bubba-beater","3 Observationally represented","B","stanford","","","name-only","","",""
"Bubba PS Eggbeater (Chainsaw Massacre)","bubba-ps-eggbeater-chainsaw-massacre","3 Observationally represented","B","stanford","","","name-only","","",""
"Butterfly Dragon (Firefly)","butterfly-dragon-firefly","3 Observationally represented","B","stanford","dragon-rake","","name-only","","",""
"Butterfly Gyro Toe (Wauxpin)","butterfly-gyro-toe-wauxpin","3 Observationally represented","B","stanford","gyro-spyro","","name-only","","",""
"Crossbody Rake (XBD Rake)","crossbody-rake-xbd-rake","3 Observationally represented","B","stanford","dragon-rake","","name-only","","",""
"Crossbody Sole Stall (Flapper)","crossbody-sole-stall-flapper","3 Observationally represented","B","stanford","","","name-only","","",""
"Diving DDD (Down River)","diving-ddd-down-river","3 Observationally represented","B","stanford","","","name-only","","",""
"Diving Symposium Whirl (Symposium Hatchet)","diving-symposium-whirl-symposium-hatchet","3 Observationally represented","B","stanford","symposium|whirl-swirl","","name-only","","",""
"Diving Whirl (Hatchet)","diving-whirl-hatchet","3 Observationally represented","B","stanford","whirl-swirl","","name-only","","",""
"DOD Osis (Motion)","dod-osis-motion","3 Observationally represented","B","stanford","","","name-only","","",""
"Double Butterfly (Paradon)","double-butterfly-paradon","3 Observationally represented","B","stanford","","","name-only","","",""
"Double Butterfly Dragon (Pteradon)","double-butterfly-dragon-pteradon","3 Observationally represented","B","stanford","dragon-rake","","name-only","","",""
"Double Drifter (High Plains Drifter)","double-drifter-high-plains-drifter","3 Observationally represented","B","stanford","","","name-only","","",""
"Double Illusion (Delusion)","double-illusion-delusion","3 Observationally represented","B","stanford","","","name-only","","",""
"Double Mirage (Barrage)","double-mirage-barrage","3 Observationally represented","B","stanford","","","name-only","","",""
"Double Pixie (Terrage)","double-pixie-terrage","3 Observationally represented","B","stanford","pixie","","name-only","","",""
"Double Reverse Swirl (Revstein)","double-reverse-swirl-revstein","3 Observationally represented","B","stanford","whirl-swirl","","name-only","","",""
"Double Spinning Double Down (Spinning Scorpion\u2019s Tail)","double-spinning-double-down-spinning-scorpion-u2019s-tail","3 Observationally represented","B","stanford","spinning|dlo-double-down","","name-only","","",""
"Double Swirl (Ripstein)","double-swirl-ripstein","3 Observationally represented","B","stanford","whirl-swirl","","name-only","","",""
"Double Swirling Dragon (Dragon Stein)","double-swirling-dragon-dragon-stein","3 Observationally represented","B","stanford","whirl-swirl|dragon-rake","","name-only","","",""
"Double Twirl (Dwirl)","double-twirl-dwirl","3 Observationally represented","B","stanford","","","name-only","","",""
"Double Wauxpin (Paradauxpin)","double-wauxpin-paradauxpin","3 Observationally represented","B","stanford","","","name-only","","",""
"Double Whirl (Whirr)","double-whirl-whirr","3 Observationally represented","B","stanford","whirl-swirl","","name-only","","",""
"Double Whirling Swirl (Whirring Swirl)","double-whirling-swirl-whirring-swirl","3 Observationally represented","B","stanford","whirl-swirl","","name-only","","",""
"Ducking PS Whirl (Mullet)","ducking-ps-whirl-mullet","3 Observationally represented","B","stanford","ducking|whirl-swirl","","name-only","","",""
"Fairy DLO (Flog)","fairy-dlo-flog","3 Observationally represented","B","stanford","fairy|dlo-double-down","","name-only","","",""
"Fairy Drifter (Fume)","fairy-drifter-fume","3 Observationally represented","B","stanford","fairy","","name-only","","",""
"Fairy Ducking Drifter (Alpine Fume)","fairy-ducking-drifter-alpine-fume","3 Observationally represented","B","stanford","ducking|fairy","","name-only","","",""
"Fairy Gyro Barrage (Fromage)","fairy-gyro-barrage-fromage","3 Observationally represented","B","stanford","fairy|gyro-spyro","","name-only","","",""
"Fairy Gyro DLO (Wentletrap)","fairy-gyro-dlo-wentletrap","3 Observationally represented","B","stanford","fairy|gyro-spyro|dlo-double-down","","name-only","","",""
"Fairy Gyro Symposium Mirage (Backside Torus)","fairy-gyro-symposium-mirage-backside-torus","3 Observationally represented","B","stanford","fairy|symposium|gyro-spyro","","name-only","","",""
"Fairy Gyro Symposium Torque (Genuphobia)","fairy-gyro-symposium-torque-genuphobia","3 Observationally represented","B","stanford","fairy|symposium|gyro-spyro|blender-torque","","name-only","","",""
"Fairy Gyro Torque (Phobia)","fairy-gyro-torque-phobia","3 Observationally represented","B","stanford","fairy|gyro-spyro|blender-torque","","name-only","","",""
"Fairy Illusion (Fudge)","fairy-illusion-fudge","3 Observationally represented","B","stanford","fairy","","name-only","","",""
"Fairy Spinning Double Down (Fairy Tail)","fairy-spinning-double-down-fairy-tail","3 Observationally represented","B","stanford","fairy|spinning|dlo-double-down","","name-only","","",""
"Fairy Spinning Legover (Fairy Merkon)","fairy-spinning-legover-fairy-merkon","3 Observationally represented","B","stanford","fairy|spinning","","name-only","","",""
"Fairy ss Butterfly (Park Avenue)","fairy-ss-butterfly-park-avenue","3 Observationally represented","B","stanford","fairy","","name-only","","",""
"Fairy ss DLO (Glaucoma)","fairy-ss-dlo-glaucoma","3 Observationally represented","B","stanford","fairy|dlo-double-down","","name-only","","",""
"Fairy ss Drifter (Casket)","fairy-ss-drifter-casket","3 Observationally represented","B","stanford","fairy","","name-only","","",""
"Fairy ss Eggbeater (Flaming Homer)","fairy-ss-eggbeater-flaming-homer","3 Observationally represented","B","stanford","fairy","","name-only","","",""
"Fairy ss Pickup (Nallegam)","fairy-ss-pickup-nallegam","3 Observationally represented","B","stanford","fairy","","name-only","","",""
