"source_file","passback_primary_name","passback_alternate_names","passback_technical_name","passback_uptime_component","passback_downtime_component","passback_dex_count","passback_notes","normalized_primary_name","candidate_trick_slug","match_status","match_reason","match_confidence","passback_dex_count_vs_ifpa_adds","review_status","operator_notes"
"passback-dicrionary.txt","Grifter","","(downtime) Illusioning far Clipper","","Grifter","1","","grifter","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Guay","","Pickup","","","","","guay","guay","matched_existing","exact_slug","high","","auto_ok",""
"passback-dicrionary.txt","GYBAS/Grab Your Balls and Squeeze","","Stepping far Dyno","Stepping","Dyno","2","","gybasgrab-your-balls-and-squeeze","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Hatchet","","Clipper Diving near Whirl","","Whirl","1","","hatchet","hatchet","matched_existing","exact_slug","high","-3","auto_ok",""
"passback-dicrionary.txt","Heart","","Frantic far Double Down Swirl","","","5","","heart","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","High Plains Drifter","","double-dex Drifter/(midtime) Barraging far Clipper","","","2","","high-plains-drifter","high-plains-drifter","matched_existing","exact_slug","high","-2","auto_ok",""
"passback-dicrionary.txt","Icarus","","Atomic Ducking far Torque","","","2","","icarus","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Id","","Atomic Ducking far Double Down, Alpine Fusion","","","","","id","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Illusion","","(downtime) leggy out dex>op toe","","Illusion","1","","illusion","illusion","matched_existing","exact_slug","high","-1","auto_ok",""
"passback-dicrionary.txt","Irish Cream","","Atomic Gyro Torque, Tapping Mobius","","","2","","irish-cream","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Jackknife","","Stepping Diving ss Butterfly, Alpine Sidewalk","","","2","","jackknife","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Janiwalker (""johnny walker"")","","Barraging far Butterfly","Barraging","Butterfly","3","","janiwalker-johnny-walker","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Johnny Vodka","","Pixie Mobius","","","","","johnny-vodka","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Kilo","","Miraging Kilo","","","3","","kilo","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","King Koopa","","Spinning Ducking far Symp.Torque, Alpine Super Mario","","","1","","king-koopa","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Kiwi","","Tapping Double Down","Atomic","","","","kiwi","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Lawn Moir","","Slicing far Butterfly","Slicing","Butterfly","","","lawn-moir","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Legbeater","","Atomic far Butterfly","Atomic","Butterfly","2","discovered by watching Blur in reverse","legbeater","atomic-butterfly","matched_existing","exact_alias_text","high","-2","auto_ok",""
"passback-dicrionary.txt","Legbreaker","","Flailing far Butterfly, Symp. Atomic far Butterfly","Flailing","","2","","legbreaker","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Legeater","","(downtime) Miraging Pickup","Atomic","Butterfly","2","","legeater","legeater","matched_existing","exact_slug","high","-1","auto_ok",""
