"trick_slug","symbolic_group_id","membership_reason","confidence","source"
"phoenix","uptime-dex-downtime-butterfly","pixie/ducking + butterfly archetype","high","execution-pattern rule"
"phoenix","wing-motion-dex","base_trick=butterfly","high","base_trick mapping"
"pickup","pickup-topology","base_trick=pickup","high","topology heuristic"
"pickup","under-foot-scoop","base_trick=pickup","high","base_trick mapping"
"pigbeater","pixie-family","modifier_link=pixie","high","freestyle_trick_modifier_links"
"pixie_barfly","barfly-double-loop-topology","base_trick=barfly","high","topology heuristic"
"pixie_barfly","pixie-family","modifier_link=pixie","high","freestyle_trick_modifier_links"
"pixie_barrage","double-dex-topology","barrage/barfly canonical double-dex pattern","high","topology heuristic"
"pixie_barrage","pixie-family","modifier_link=pixie","high","freestyle_trick_modifier_links"
"pixie_blender","blender-rotational-topology","base_trick=blender","high","topology heuristic"
"pixie_blender","pixie-family","modifier_link=pixie","high","freestyle_trick_modifier_links"
"pixie_butterfly_swirl","clipper-ending","compound terminates in clipper_stall via wing-motion or canonical-name pattern","medium","canonical-name heuristic"
"pixie_butterfly_swirl","pixie-family","modifier_link=pixie","high","freestyle_trick_modifier_links"
"pixie_clipper","clipper-ending","compound terminates in clipper_stall via wing-motion or canonical-name pattern","medium","canonical-name heuristic"
"pixie_clipper","pixie-family","modifier_link=pixie","high","freestyle_trick_modifier_links"
"pixie_dada_curve","pixie-family","modifier_link=pixie","high","freestyle_trick_modifier_links"
"pixie_diving_mirage","diving-family","modifier_link=diving","high","freestyle_trick_modifier_links"
"pixie_diving_mirage","pixie-family","modifier_link=pixie","high","freestyle_trick_modifier_links"
"pixie_diving_mirage","toe-ending","compound terminates in toe_stall via canonical-name pattern","medium","canonical-name heuristic"
"pixie_diving_osis","diving-family","modifier_link=diving","high","freestyle_trick_modifier_links"
"pixie_diving_osis","pixie-family","modifier_link=pixie","high","freestyle_trick_modifier_links"
"pixie_diving_pickup","diving-family","modifier_link=diving","high","freestyle_trick_modifier_links"
"pixie_diving_pickup","pixie-family","modifier_link=pixie","high","freestyle_trick_modifier_links"
"pixie_diving_symposium_mirage","diving-family","modifier_link=diving","high","freestyle_trick_modifier_links"
"pixie_diving_symposium_mirage","no-plant-while-symposium","modifier_link=symposium","high","execution-pattern rule"
"pixie_diving_symposium_mirage","pixie-family","modifier_link=pixie","high","freestyle_trick_modifier_links"
"pixie_diving_symposium_mirage","symposium-family","modifier_link=symposium","high","freestyle_trick_modifier_links"
"pixie_diving_symposium_mirage","toe-ending","compound terminates in toe_stall via canonical-name pattern","medium","canonical-name heuristic"
