"source","source_file","move_name","alternate_names","technical_name","source_adds","symbolic_notation_raw","start_contact","uptime_dex_1","uptime_dex_2","uptime_state_flags","midtime_body_actions","downtime_dexes","final_contact","surface_flags","positional_flags","component_flags","parsed_symbol_sequence","derived_adds","source_vs_derived_delta","derived_symbolic_family","derived_topology_family","unresolved_tokens","parse_confidence","review_status","notes"
"footbagmoves","footbagmoves-3-4adds.txt","Fairy Beater","","Fairy Butterfly","4","Toe > Same Out (DEX) >> Op Out (DEX) > Op Clip (XBD)(DEL)","toe","same out","","","","op out","clip","","XBD","DEX|DEX|XBD|DEL","toe › same out(DEX) ⟫ op out(DEX) › op clip(XBD,DEL)","4","0","toe-double-dex-clip","double-dex-family","","high","ok",""
"footbagmoves","footbagmoves-3-4adds.txt","Fairy Ducking Legover","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-3-4adds.txt","Fairy Ducking Pickup","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-3-4adds.txt","Fairy Eggbeater","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-3-4adds.txt","Fairy ss Osis","","","4","Toe > Same Out (DEX) >> (back) Spin (BOD) > Same Clip (XBD)(DEL)","toe","same out","","","back-spin","","clip","","XBD","DEX|BOD|XBD|DEL","toe › same out(DEX) ⟫ [back] spin(BOD) › same clip(XBD,DEL)","4","0","toe-spin-clip","spin-family","","high","ok",""
"footbagmoves","footbagmoves-3-4adds.txt","Fairy Symposium Mirage","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-3-4adds.txt","Fairy Symposium Mirage","","Fairy Flail","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-3-4adds.txt","Fairy Symposium Mirage (same side)","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation","fm:same-side-variant"
"footbagmoves","footbagmoves-3-4adds.txt","Fairy Symposium Mirage (same side)","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation","fm:same-side-variant"
"footbagmoves","footbagmoves-3-4adds.txt","Fairy Whirl (same side)","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation","fm:same-side-variant"
"footbagmoves","footbagmoves-3-4adds.txt","Far Dyno","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-3-4adds.txt","Feral","","Fairy Whirl","4","Toe > Same Out (DEX) >> Op Front Whirl (DEX) > Op Clip (XBD)(DEL)","toe","same out","","","","op front whirl","clip","","XBD","DEX|DEX|XBD|DEL","toe › same out(DEX) ⟫ op front whirl(DEX) › op clip(XBD,DEL)","4","0","toe-front-whirl-clip","whirl-family","","high","ok",""
