"canonical_slug","display_name","source","source_file","source_adds","derived_adds","add_formula","symbolic_notation_raw","parsed_symbol_sequence","derived_symbolic_family","derived_topology_family","doctrine_status","first_class","curator_review_needed","publication_status","unresolved_questions","provenance_notes","parser_notes","review_status"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","4","","Toe > Same Out (DEX) >> Op Front Whirl (DEX) > Op Clip (XBD)(DEL)","toe › same out(DEX) ⟫ op front whirl(DEX) › op clip(XBD,DEL)","toe-front-whirl-clip","whirl-family","","","","","","","","ok"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","4","","Toe > Same Out (DEX) >> (front) Spin (BOD) > Op Clip (XBD)(DEL)","toe › same out(DEX) ⟫ [front] spin(BOD) › op clip(XBD,DEL)","toe-spin-clip","spin-family","","","","","","","","ok"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","4","","Toe > Same Out (DEX) >> Same Out (DEX) > Op Out (DEX) > Same Toe (DEL)","toe › same out(DEX) ⟫ same out(DEX) › op out(DEX) › same toe(DEL)","toe-multi-dex-toe","multi-dex-family","","","","","","","","ok"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","4","","Clip > Op In (DEX) >> Same Out (DEX) > Op Out (DEX) > Same Toe (DEL)","clip › op in(DEX) ⟫ same out(DEX) › op out(DEX) › same toe(DEL)","clip-multi-dex-toe","multi-dex-family","","","","","","","","ok"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","4","","Dragon > Op In (DEX) >> Op Out (DEX) > Op Clip (XBD)(DEL)","Dragon › op in(DEX) ⟫ op out(DEX) › op clip(XBD,DEL)","?-walk-clip","butterfly-walk-family","","","","","","","","needs_review"
"flog","Flog","footbagmoves","footbagmoves-3-4adds.txt","4","4","fairy(+1?) + DLO(3) --> 4 ADDs","Toe > Same Out (DEX) >> Op In (DEX) > Op Out (DEX) > Same Toe (DEL)","toe › same out(DEX) ⟫ op in(DEX) › op out(DEX) › same toe(DEL)","toe-multi-dex-toe","multi-dex-family","pending","false","true","observational","Fairy modifier ADD weight pending pt12 Q4 batch.","FB.org 4-ADD confirms 'Flog' (source_adds=4; jobs='TOE > SAME OUT [DEX] > OP IN [DEX] > OP OUT [DEX] > SAME TOE [DEL]'; component_flags='[dex] [dex] [dex] [del]'); ingested 2026-05-21.","","ok"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","4","","Clip > Op In (DEX) > Same In (DEX) >> Op Out (DEX) > Same Toe (DEL)","clip › op in(DEX) › same in(DEX) ⟫ op out(DEX) › same toe(DEL)","clip-multi-dex-toe","multi-dex-family","","","","","","","","ok"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","4","","Toe > Same Out (DEX) >> Same Crossbody Rake (XBD)(DEL)(DEX)","toe › same out(DEX) ⟫ same(XBD,DEL,DEX)","toe-double-dex-?","double-dex-family","","","","","","","","needs_review"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","4","","Toe > Same Out (DEX) >> Op In (DEX) > Same Clip (XBD)(DEL)","toe › same out(DEX) ⟫ op in(DEX) › same clip(XBD,DEL)","toe-double-dex-clip","double-dex-family","","","","","","","","ok"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","3","","Inside > Jump (BOD >> Same Back Swirl (DEX) > Same Dragon (XBD)(DEL)","inside › Jump (BOD ⟫ same back swirl(DEX) › same(XBD,DEL)","inside-back-swirl-?","swirl-family","","","","","","","","needs_review"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","4","","Toe > Same Out (DEX) >> Same In (DEX) > Op Out (DEX) > Same Toe (DEL)","toe › same out(DEX) ⟫ same in(DEX) › op out(DEX) › same toe(DEL)","toe-multi-dex-toe","multi-dex-family","","","","","","","","ok"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","4","","Toe > Same Out (DEX) >> Duck (BOD) >> Op In (DEX) > Op Toe (DEL)","toe › same out(DEX) ⟫ duck(BOD) ⟫ op in(DEX) › op toe(DEL)","toe-duck-toe","duck-family","","","","","","","","ok"
