fm_name,target_slug,target_canonical,divergence_type,fm_technical_name,flag
POD,pixie_double_over_down,pixie-double-over-down,already-an-alias,Pixie ss Double Over Down,covered
Porque,pixie_torque,pixie-torque,already-an-alias,Pixie Torque,covered
PS Whirl,paradox_symposium_whirl,paradox symposium whirl,already-an-alias,,covered
Ripcurl,stepping_butterfly_swirl,stepping-butterfly-swirl,already-an-alias,Stepping Butterfly Swirl,covered
Riptide,stepping_butterfly_swirl,stepping-butterfly-swirl,already-an-alias,Stepping Far Butterfly Swirl,covered
Royall Assassin,pixie_ducking_symposium_mirage,pixie-ducking-symposium-mirage,folk-name,Pixie Ducking Symposium Mirage,clean
Sabotage,toe_flurry,toe flurry,folk-name,Toe Flurry,clean
Spanish Fly,ducking_barfly,ducking-barfly,folk-name,Ducking Barfly,clean
Spikehammer,stepping_ducking_mirage,stepping-ducking-mirage,already-an-alias,Blurry Ducking Mirage,covered
Spyro Gyro,gyro_butterfly_swirl,gyro-butterfly-swirl,folk-name,Gyro Butterfly Swirl,clean
Stepping Blender (same side),stepping_blender,stepping-blender,positional/directional,,clean
Stepping Ducking Butterfly (same side),stepping_ducking_butterfly,stepping-ducking-butterfly,positional/directional,,clean
Stepping Ducking Far Double Pickup,stepping_ducking_double_pickup,stepping-ducking-double-pickup,positional/directional,,clean
Supernova,gyro_symposium_double_leg_over,gyro-symposium-double-leg-over,already-an-alias,Spyro Nova,covered
Swivel,symposium_twirl,symposium-twirl,already-an-alias,Symposium Twirl,covered
Tapwater,tapping_twirl,tapping-twirl,folk-name,Tapping Twirl,clean
Torquescrew,miraging_dyno,miraging-dyno,folk-name,Miraging Dyno,evidence-only (doctrine operator)
Trochus,atomic_flail,atomic-flail,folk-name,Atomic Flail,clean
Vertigo,ducking_paradox_drifter,ducking-paradox-drifter,folk-name,Ducking Paradox Drifter,clean
Whirlwalk,whirling_whirl,whirling-whirl,already-an-alias,Blazing Paradox Whirl,covered
Whisk,paradox_symposium_eggbeater,paradox-symposium-eggbeater,abbreviation/short-folk,Paradox Symposium Eggbeater,clean
Atomic Butterfly (same side),atomic_butterfly,atomic butterfly,positional/directional,,clean
Atomic ss Osis,tapping_osis,tapping-osis,positional/directional,Tapping Osis,ADD-untrusted
Amadeus,gyro_dada_curve,gyro-dada-curve,folk-name,Gyro Dada Curve,clean
Atomic DLO,atomic_double_leg_over,atomic-double-leg-over,already-an-alias,,covered
Barroque,barraging_osis,barraging osis,already-an-alias,Barraging Osis,covered
69,nuclear_drifter,nuclear-drifter,already-an-alias,Nuclear Drifter,covered
Cristal,quantum_ducking_whirl,quantum-ducking-whirl,folk-name,Quantum Ducking Whirl,evidence-only (doctrine operator)
Alpine Big Apple,gyro_ducking_symposium_torque,gyro-ducking-symposium-torque,already-an-alias,Gyro Ducking Symposium Torque,covered
Icarus,atomic_ducking_torque,atomic-ducking-torque,already-an-alias,Atomic Ducking Torque,covered
Nemesis Swirl,barraging_barfly_swirl,barraging-barfly-swirl,folk-name,Barraging Barfly Swirl,evidence-only (doctrine operator)
Stepping Ducking PS Whirl,stepping_ducking_paradox_symposium_whirl,stepping-ducking-paradox-symposium-whirl,already-an-alias,,covered
Super Ego,atomic_ducking_blender,atomic-ducking-blender,folk-name,Atomic Ducking Blender,clean
Superdeeduperfly,spinning_ducking_superfly,spinning-ducking-superfly,already-an-alias,Spinning Ducking Symposium Double Over Down,covered
Carousel,surging_ducking_paradox_symposium_whirling_rake,Surging Ducking Paradox Symposium Whirling Rake,folk-name,Surging Ducking Paradox Symposium Whirling Rake,evidence-only (doctrine operator)
Alpine PLO,pixie_ducking_legover,pixie-ducking-legover,already-an-alias,Pixie Legover (op) (ducking),covered
Assassin (ss),assassin,assassin,positional/directional,Pixie Mirage (ss) (diving),ADD-untrusted
DDD,down_double_down,down-double-down,already-an-alias,Double down (ss),covered
DSO,double_switch_over,double switch-over,already-an-alias,Legover (double) (op),covered
DSO,double_switch_over,double switch-over,already-an-alias,Legover (double) (op),covered
Fairy Legover (ss),double_orbit,double orbit,already-an-alias,Fairy Legover (ss),covered
Fairy Pickup (ss),fairy_pickup,fairy-pickup,positional/directional,Fairy Pickup (ss),ADD-untrusted
Fracture,sailing_double_leg_over,Sailing Double Leg Over,already-an-alias,Sailing DLO (ss),covered
Frantic Legover,pixie_quantum_legover,Pixie Quantum Legover,already-an-alias,Pixie Quantum Legover (op),covered
Grifter,reverse_drifter,reverse-drifter,already-an-alias,Grifter (ss),covered
Grifter,reverse_drifter,reverse-drifter,already-an-alias,Grifter (ss),covered
